term,records,mentions,obs_region,year,reg_tot_ments,term_year_reg_ment_perc
basibracteolate,1,1,Latin_America_and_the_Caribbean,2019,10,0.1
philterproof,0,0,Latin_America_and_the_Caribbean,2019,0,0
choanophorous,21,34,Latin_America_and_the_Caribbean,2019,100,0.34
resgat,0,0,Asia_Pacific,2016,3,0
ultranatural,0,0,Latin_America_and_the_Caribbean,2019,0,0
markab,0,0,Latin_America_and_the_Caribbean,2019,0,0
refractivity,0,0,Latin_America_and_the_Caribbean,2019,0,0
resgat,0,0,Asia_Pacific,2017,3,0
resgat,1,2,Asia_Pacific,2018,3,0.666666667
kelebe,0,0,Latin_America_and_the_Caribbean,2019,1,0
forfalt,0,0,Latin_America_and_the_Caribbean,2019,0,0
radiostereoscopy,0,0,Latin_America_and_the_Caribbean,2019,0,0
siderean,0,0,Latin_America_and_the_Caribbean,2019,0,0
scaldic,0,0,Latin_America_and_the_Caribbean,2019,0,0
resgat,1,1,Asia_Pacific,2019,3,0.333333333
dysodontiasis,3,3,Latin_America_and_the_Caribbean,2019,5,0.6
youdendrift,0,0,Latin_America_and_the_Caribbean,2019,0,0
deturb,0,0,Latin_America_and_the_Caribbean,2019,0,0
cynosurus,6,8,Latin_America_and_the_Caribbean,2019,77,0.103896104
resgat,0,0,Middle_East_and_North_Africa,2016,3,0
forgivenesses,0,0,Latin_America_and_the_Caribbean,2019,0,0
tassoo,0,0,Latin_America_and_the_Caribbean,2019,0,0
gawkies,0,0,Latin_America_and_the_Caribbean,2019,0,0
resgat,2,2,Middle_East_and_North_Africa,2017,3,0.666666667
reciprocals,2,2,Latin_America_and_the_Caribbean,2019,2,1
anticipator,0,0,Latin_America_and_the_Caribbean,2019,0,0
resgat,0,0,Middle_East_and_North_Africa,2018,3,0
shmaltziest,0,0,Latin_America_and_the_Caribbean,2019,0,0
equipede,0,0,Latin_America_and_the_Caribbean,2019,0,0
ribaudequin,0,0,Latin_America_and_the_Caribbean,2019,0,0
sporangia,0,0,Latin_America_and_the_Caribbean,2019,0,0
squashberry,2,2,Latin_America_and_the_Caribbean,2019,26,0.076923077
collencyte,9,30,Latin_America_and_the_Caribbean,2019,30,1
stickup,2,9,Latin_America_and_the_Caribbean,2019,12,0.75
resgat,1,1,Middle_East_and_North_Africa,2019,3,0.333333333
lusian,0,0,Latin_America_and_the_Caribbean,2019,0,0
resgat,1,1,US_Canada,2016,2,0.5
resgat,0,0,US_Canada,2017,2,0
sciolistic,280,2087,Latin_America_and_the_Caribbean,2019,7488,0.278712607
hemautographic,0,0,Latin_America_and_the_Caribbean,2019,0,0
weltered,0,0,Latin_America_and_the_Caribbean,2019,2,0
toddymen,1,4,Latin_America_and_the_Caribbean,2019,8,0.5
resgat,1,1,US_Canada,2018,2,0.5
resgat,0,0,US_Canada,2019,2,0
resgat,52,168,Europe,2016,777,0.216216216
turbomotor,0,0,Latin_America_and_the_Caribbean,2019,0,0
endopterygota,28,64,Latin_America_and_the_Caribbean,2019,270,0.237037037
resgat,53,236,Europe,2017,777,0.303732304
physicotheological,0,0,Latin_America_and_the_Caribbean,2019,0,0
gulfwards,0,0,Latin_America_and_the_Caribbean,2019,0,0
zigamorph,0,0,Latin_America_and_the_Caribbean,2019,0,0
squeezes,0,0,Latin_America_and_the_Caribbean,2019,0,0
sensibilisin,0,0,Latin_America_and_the_Caribbean,2019,0,0
valentiam,0,0,Latin_America_and_the_Caribbean,2019,0,0
samuel,0,0,Latin_America_and_the_Caribbean,2019,0,0
hydrogenous,9,12,Latin_America_and_the_Caribbean,2019,27,0.444444444
catercousin,162,579,Latin_America_and_the_Caribbean,2019,2463,0.235079172
substantiating,1,1,Latin_America_and_the_Caribbean,2019,4,0.25
resgat,42,184,Europe,2018,777,0.236808237
decagramme,0,0,Latin_America_and_the_Caribbean,2019,0,0
techniphone,0,0,Latin_America_and_the_Caribbean,2019,0,0
elean,0,0,Latin_America_and_the_Caribbean,2019,1,0
coassert,0,0,Latin_America_and_the_Caribbean,2019,0,0
foreteach,2,3,Latin_America_and_the_Caribbean,2019,10,0.3
mislabored,0,0,Latin_America_and_the_Caribbean,2019,0,0
logarithmal,0,0,Latin_America_and_the_Caribbean,2019,0,0
kavi,0,0,Latin_America_and_the_Caribbean,2019,0,0
microspectroscope,0,0,Latin_America_and_the_Caribbean,2019,0,0
posticous,4,6,Latin_America_and_the_Caribbean,2019,19,0.315789474
resgat,39,189,Europe,2019,777,0.243243243
corporateness,0,0,Latin_America_and_the_Caribbean,2019,0,0
andesine,0,0,Latin_America_and_the_Caribbean,2019,0,0
tactable,0,0,Latin_America_and_the_Caribbean,2019,0,0
resgat,0,0,Africa,2016,6,0
targing,0,0,Latin_America_and_the_Caribbean,2019,0,0
resgat,2,2,Africa,2017,6,0.333333333
lusciously,6,6,Latin_America_and_the_Caribbean,2019,19,0.315789474
resgat,1,1,Africa,2018,6,0.166666667
hobbyhorses,0,0,Latin_America_and_the_Caribbean,2019,0,0
highroad,0,0,Latin_America_and_the_Caribbean,2019,0,0
dialysed,0,0,Latin_America_and_the_Caribbean,2019,0,0
solfatara,9,14,Latin_America_and_the_Caribbean,2019,48,0.291666667
unpoetize,5,16,Latin_America_and_the_Caribbean,2019,104,0.153846154
organicism,0,0,Latin_America_and_the_Caribbean,2019,0,0
parasites,0,0,Latin_America_and_the_Caribbean,2019,0,0
subreference,1,1,Latin_America_and_the_Caribbean,2019,1,1
unbuilding,0,0,Latin_America_and_the_Caribbean,2019,0,0
putrefactiveness,0,0,Latin_America_and_the_Caribbean,2019,0,0
nookie,1,1,Latin_America_and_the_Caribbean,2019,1,1
belgravian,0,0,Latin_America_and_the_Caribbean,2019,0,0
taich,0,0,Latin_America_and_the_Caribbean,2019,0,0
resgat,1,3,Africa,2019,6,0.5
monohull,0,0,Latin_America_and_the_Caribbean,2019,0,0
resgat,5,8,Eurasia,2016,34,0.235294118
palsying,0,0,Latin_America_and_the_Caribbean,2019,0,0
resgat,3,5,Eurasia,2017,34,0.147058824
resgat,3,6,Eurasia,2018,34,0.176470588
desightment,0,0,Latin_America_and_the_Caribbean,2019,0,0
decillion,0,0,Latin_America_and_the_Caribbean,2019,0,0
overslaugh,12,21,Latin_America_and_the_Caribbean,2019,47,0.446808511
pother,0,0,Latin_America_and_the_Caribbean,2019,0,0
necropoleis,3,4,Latin_America_and_the_Caribbean,2019,5,0.8
hundredwork,0,0,Latin_America_and_the_Caribbean,2019,0,0
luxury,3,4,Latin_America_and_the_Caribbean,2019,11,0.363636364
resgat,10,15,Eurasia,2019,34,0.441176471
ditt,12,19,Latin_America_and_the_Caribbean,2019,98,0.193877551
necrotizing,3,4,Latin_America_and_the_Caribbean,2019,5,0.8
ferroconcrete,0,0,Latin_America_and_the_Caribbean,2019,1,0
gerund,25,31,Latin_America_and_the_Caribbean,2019,160,0.19375
gamobium,0,0,Latin_America_and_the_Caribbean,2019,0,0
roundeleer,88,140,Latin_America_and_the_Caribbean,2019,431,0.324825986
desecrate,0,0,Latin_America_and_the_Caribbean,2016,0,0
incurved,0,0,Latin_America_and_the_Caribbean,2019,0,0
overfine,0,0,Latin_America_and_the_Caribbean,2019,0,0
cogwheels,0,0,Latin_America_and_the_Caribbean,2019,0,0
lagwort,2,2,Latin_America_and_the_Caribbean,2019,3,0.666666667
hibernicism,0,0,Latin_America_and_the_Caribbean,2019,0,0
sheugh,0,0,Latin_America_and_the_Caribbean,2019,0,0
orthosilicic,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,0,0,Latin_America_and_the_Caribbean,2017,0,0
dipyrenous,0,0,Latin_America_and_the_Caribbean,2019,1,0
sionite,0,0,Latin_America_and_the_Caribbean,2019,0,0
buddles,0,0,Latin_America_and_the_Caribbean,2019,0,0
sol,0,0,Latin_America_and_the_Caribbean,2019,0,0
bodyshirt,0,0,Latin_America_and_the_Caribbean,2019,0,0
refutal,4,5,Latin_America_and_the_Caribbean,2019,29,0.172413793
saunders,0,0,Latin_America_and_the_Caribbean,2019,1,0
cays,0,0,Latin_America_and_the_Caribbean,2019,0,0
septums,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,0,0,Latin_America_and_the_Caribbean,2018,0,0
desecrate,0,0,Latin_America_and_the_Caribbean,2019,0,0
floperoo,0,0,Latin_America_and_the_Caribbean,2019,1,0
accessioner,0,0,Latin_America_and_the_Caribbean,2019,0,0
scumming,0,0,Latin_America_and_the_Caribbean,2019,0,0
reefiest,20,22,Latin_America_and_the_Caribbean,2019,86,0.255813953
bucephala,0,0,Latin_America_and_the_Caribbean,2019,0,0
unporticoed,0,0,Latin_America_and_the_Caribbean,2019,0,0
caramba,0,0,Latin_America_and_the_Caribbean,2019,0,0
deusan,0,0,Latin_America_and_the_Caribbean,2019,0,0
affectless,0,0,Latin_America_and_the_Caribbean,2019,0,0
founderous,3,3,Latin_America_and_the_Caribbean,2019,14,0.214285714
superboldly,15,19,Latin_America_and_the_Caribbean,2019,103,0.184466019
miscontinuance,2,3,Latin_America_and_the_Caribbean,2019,9,0.333333333
desecrate,3,6,Global,2016,15,0.4
future,3,3,Latin_America_and_the_Caribbean,2019,18,0.166666667
phyllomania,0,0,Latin_America_and_the_Caribbean,2019,0,0
facultied,0,0,Latin_America_and_the_Caribbean,2019,0,0
bambochade,7,48,Latin_America_and_the_Caribbean,2019,60,0.8
person,0,0,Latin_America_and_the_Caribbean,2019,0,0
liquorer,0,0,Latin_America_and_the_Caribbean,2019,0,0
perai,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,3,3,Global,2017,15,0.2
cuniforms,0,0,Latin_America_and_the_Caribbean,2019,2,0
unmediaeval,3,3,Latin_America_and_the_Caribbean,2019,6,0.5
stylonychia,0,0,Latin_America_and_the_Caribbean,2019,0,0
amarillos,5,9,Latin_America_and_the_Caribbean,2019,21,0.428571429
desecrate,1,2,Global,2018,15,0.133333333
sprigtail,0,0,Latin_America_and_the_Caribbean,2019,0,0
tressful,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,3,4,Global,2019,15,0.266666667
monticola,12,14,Latin_America_and_the_Caribbean,2019,85,0.164705882
libelously,8,8,Latin_America_and_the_Caribbean,2019,33,0.242424242
directionize,0,0,Latin_America_and_the_Caribbean,2019,0,0
astronaut,1,1,Latin_America_and_the_Caribbean,2019,10,0.1
desalinate,9,9,Latin_America_and_the_Caribbean,2019,41,0.219512195
nonsubtraction,0,0,Latin_America_and_the_Caribbean,2019,0,0
ajava,0,0,Latin_America_and_the_Caribbean,2019,10,0
sedentariness,26,34,Latin_America_and_the_Caribbean,2019,116,0.293103448
untastefully,5,6,Latin_America_and_the_Caribbean,2019,53,0.113207547
publicizing,1,1,Latin_America_and_the_Caribbean,2019,1,1
mistype,6,9,Latin_America_and_the_Caribbean,2019,59,0.152542373
desecrate,0,0,Asia_Pacific,2016,2,0
abaton,4,5,Latin_America_and_the_Caribbean,2019,19,0.263157895
pillmonger,0,0,Latin_America_and_the_Caribbean,2019,0,0
leapt,1,1,Latin_America_and_the_Caribbean,2019,9,0.111111111
initialisation,0,0,Latin_America_and_the_Caribbean,2019,2,0
amounting,0,0,Latin_America_and_the_Caribbean,2019,0,0
midwiving,16,25,Latin_America_and_the_Caribbean,2019,125,0.2
celtium,0,0,Latin_America_and_the_Caribbean,2019,0,0
vesselled,2,2,Latin_America_and_the_Caribbean,2019,3,0.666666667
caged,0,0,Latin_America_and_the_Caribbean,2019,0,0
sputter,0,0,Latin_America_and_the_Caribbean,2019,0,0
sociopathy,0,0,Latin_America_and_the_Caribbean,2019,0,0
aeronomies,103,270,Latin_America_and_the_Caribbean,2019,1026,0.263157895
laborable,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,1,1,Asia_Pacific,2017,2,0.5
desecrate,1,1,Asia_Pacific,2018,2,0.5
desecrate,0,0,Asia_Pacific,2019,2,0
dermoidectomy,15,26,Latin_America_and_the_Caribbean,2019,145,0.179310345
caribal,7,11,Latin_America_and_the_Caribbean,2019,35,0.314285714
exsiccated,2,9,Latin_America_and_the_Caribbean,2019,28,0.321428571
observedly,0,0,Latin_America_and_the_Caribbean,2019,0,0
chaldron,4,4,Latin_America_and_the_Caribbean,2019,13,0.307692308
lapidify,0,0,Latin_America_and_the_Caribbean,2019,3,0
cyclarthrsis,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,1,1,Middle_East_and_North_Africa,2016,5,0.2
jovinian,0,0,Latin_America_and_the_Caribbean,2019,6,0
crumples,0,0,Latin_America_and_the_Caribbean,2019,0,0
phonemes,0,0,Latin_America_and_the_Caribbean,2019,0,0
antedorsal,6,9,Latin_America_and_the_Caribbean,2019,16,0.5625
avengeress,0,0,Latin_America_and_the_Caribbean,2019,2,0
clearsightedness,0,0,Latin_America_and_the_Caribbean,2019,19,0
cylindrocylindric,0,0,Latin_America_and_the_Caribbean,2019,0,0
pyruvates,0,0,Latin_America_and_the_Caribbean,2019,3,0
coheiress,0,0,Latin_America_and_the_Caribbean,2019,0,0
grandaunt,0,0,Latin_America_and_the_Caribbean,2019,0,0
bog,3,3,Latin_America_and_the_Caribbean,2019,7,0.428571429
bufotalin,0,0,Latin_America_and_the_Caribbean,2019,0,0
redeemability,0,0,Latin_America_and_the_Caribbean,2019,3,0
elfic,10,10,Latin_America_and_the_Caribbean,2019,38,0.263157895
goglet,0,0,Latin_America_and_the_Caribbean,2019,10,0
barquentine,0,0,Latin_America_and_the_Caribbean,2019,0,0
traveldom,0,0,Latin_America_and_the_Caribbean,2019,7,0
mischance,0,0,Latin_America_and_the_Caribbean,2019,0,0
changable,0,0,Latin_America_and_the_Caribbean,2019,0,0
nephrogenic,0,0,Latin_America_and_the_Caribbean,2019,0,0
whill,7,7,Latin_America_and_the_Caribbean,2019,54,0.12962963
dinucleotide,0,0,Latin_America_and_the_Caribbean,2019,0,0
muddleheadedness,0,0,Latin_America_and_the_Caribbean,2019,0,0
wamefou,0,0,Latin_America_and_the_Caribbean,2019,0,0
brasilin,0,0,Latin_America_and_the_Caribbean,2019,0,0
prestigious,0,0,Latin_America_and_the_Caribbean,2019,0,0
megadrili,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,2,2,Middle_East_and_North_Africa,2017,5,0.4
desecrate,0,0,Middle_East_and_North_Africa,2018,5,0
desecrate,2,2,Middle_East_and_North_Africa,2019,5,0.4
urate,4,5,Latin_America_and_the_Caribbean,2019,11,0.454545455
desecrate,0,0,US_Canada,2016,2,0
nanowatt,0,0,Latin_America_and_the_Caribbean,2019,0,0
amphibia,0,0,Latin_America_and_the_Caribbean,2019,0,0
launderable,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,2,2,US_Canada,2017,2,1
unoptimized,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,0,0,US_Canada,2018,2,0
ezod,0,0,Latin_America_and_the_Caribbean,2019,0,0
chartroom,66,341,Latin_America_and_the_Caribbean,2019,1444,0.236149584
monumentalised,3,3,Latin_America_and_the_Caribbean,2019,9,0.333333333
greenrooms,0,0,Latin_America_and_the_Caribbean,2019,0,0
pendency,0,0,Latin_America_and_the_Caribbean,2019,10,0
preexist,0,0,Latin_America_and_the_Caribbean,2019,0,0
resupinate,0,0,Latin_America_and_the_Caribbean,2019,0,0
bourride,1,1,Latin_America_and_the_Caribbean,2019,1,1
relide,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,0,0,US_Canada,2019,2,0
momentums,0,0,Latin_America_and_the_Caribbean,2019,4,0
ultratechnical,98,335,Latin_America_and_the_Caribbean,2019,1069,0.313376988
embroiled,0,0,Latin_America_and_the_Caribbean,2019,1,0
desecrate,0,0,Europe,2016,1,0
verticals,0,0,Latin_America_and_the_Caribbean,2019,0,0
balldress,0,0,Latin_America_and_the_Caribbean,2019,0,0
extraphysiological,0,0,Latin_America_and_the_Caribbean,2019,0,0
outspends,0,0,Latin_America_and_the_Caribbean,2019,0,0
nepote,3,3,Latin_America_and_the_Caribbean,2019,5,0.6
paniclike,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,0,0,Europe,2017,1,0
semigovernmentally,5,15,Latin_America_and_the_Caribbean,2019,20,0.75
epithelia,0,0,Latin_America_and_the_Caribbean,2019,0,0
uncompetitive,0,0,Latin_America_and_the_Caribbean,2019,0,0
hematologic,0,0,Latin_America_and_the_Caribbean,2019,0,0
affinition,0,0,Latin_America_and_the_Caribbean,2019,0,0
vindicatively,0,0,Latin_America_and_the_Caribbean,2019,0,0
oversaw,0,0,Latin_America_and_the_Caribbean,2019,0,0
hinting,0,0,Latin_America_and_the_Caribbean,2019,0,0
aforethought,0,0,Latin_America_and_the_Caribbean,2019,0,0
rhamphosuchus,11,16,Latin_America_and_the_Caribbean,2019,53,0.301886792
beltways,0,0,Latin_America_and_the_Caribbean,2019,0,0
evictee,0,0,Latin_America_and_the_Caribbean,2019,0,0
tierceron,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,1,1,Europe,2018,1,1
fatten,1,1,Latin_America_and_the_Caribbean,2019,1,1
unslumped,0,0,Latin_America_and_the_Caribbean,2019,0,0
lanthorn,0,0,Latin_America_and_the_Caribbean,2019,0,0
subserosa,0,0,Latin_America_and_the_Caribbean,2019,0,0
misreceive,0,0,Latin_America_and_the_Caribbean,2019,0,0
undeceitfulness,0,0,Latin_America_and_the_Caribbean,2019,0,0
pharyngopneusta,0,0,Latin_America_and_the_Caribbean,2019,0,0
bicentrically,0,0,Latin_America_and_the_Caribbean,2019,0,0
exstill,0,0,Latin_America_and_the_Caribbean,2019,0,0
threonine,1,1,Latin_America_and_the_Caribbean,2019,1,1
griffith,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,0,0,Europe,2019,1,0
grandmothers,0,0,Latin_America_and_the_Caribbean,2019,0,0
pollincture,0,0,Latin_America_and_the_Caribbean,2019,0,0
revisits,13,17,Latin_America_and_the_Caribbean,2019,72,0.236111111
unsportsmanlikeness,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,11,24,Africa,2016,48,0.5
stumpish,0,0,Latin_America_and_the_Caribbean,2019,0,0
katastate,1,1,Latin_America_and_the_Caribbean,2019,1,1
marcobrunner,0,0,Latin_America_and_the_Caribbean,2019,0,0
overwave,0,0,Latin_America_and_the_Caribbean,2019,0,0
huthold,61,201,Latin_America_and_the_Caribbean,2019,573,0.35078534
esophagus,0,0,Latin_America_and_the_Caribbean,2019,0,0
epicondylian,5,7,Latin_America_and_the_Caribbean,2019,24,0.291666667
desecrate,2,5,Africa,2017,48,0.104166667
desecrate,8,9,Africa,2018,48,0.1875
bandhor,0,0,Latin_America_and_the_Caribbean,2019,0,0
musicry,1,1,Latin_America_and_the_Caribbean,2019,2,0.5
gharri,0,0,Latin_America_and_the_Caribbean,2019,0,0
pudginess,0,0,Latin_America_and_the_Caribbean,2019,0,0
jews,0,0,Latin_America_and_the_Caribbean,2019,0,0
uranorrhaphia,0,0,Latin_America_and_the_Caribbean,2019,0,0
streetwalkers,0,0,Latin_America_and_the_Caribbean,2019,0,0
outbud,2,5,Latin_America_and_the_Caribbean,2019,21,0.238095238
desecrate,8,10,Africa,2019,48,0.208333333
sestetto,0,0,Latin_America_and_the_Caribbean,2019,0,0
reaccrediting,0,0,Latin_America_and_the_Caribbean,2019,2,0
desecrate,0,0,Eurasia,2016,1,0
overtutor,0,0,Latin_America_and_the_Caribbean,2019,0,0
ravages,0,0,Latin_America_and_the_Caribbean,2019,0,0
cephaloclasia,0,0,Latin_America_and_the_Caribbean,2019,0,0
unminimised,7,10,Latin_America_and_the_Caribbean,2019,96,0.104166667
phosphatising,1,1,Latin_America_and_the_Caribbean,2019,2,0.5
unfolden,0,0,Latin_America_and_the_Caribbean,2019,0,0
moringaceae,56,144,Latin_America_and_the_Caribbean,2019,509,0.282907662
desecrate,1,1,Eurasia,2017,1,1
supertartrate,0,0,Latin_America_and_the_Caribbean,2019,0,0
lianoid,0,0,Latin_America_and_the_Caribbean,2019,0,0
resiner,0,0,Latin_America_and_the_Caribbean,2019,0,0
downcry,0,0,Latin_America_and_the_Caribbean,2019,0,0
countershafting,0,0,Latin_America_and_the_Caribbean,2019,0,0
tweets,0,0,Latin_America_and_the_Caribbean,2019,0,0
disappearance,0,0,Latin_America_and_the_Caribbean,2019,0,0
calyciflorous,0,0,Latin_America_and_the_Caribbean,2019,0,0
penicils,0,0,Latin_America_and_the_Caribbean,2019,0,0
ptyalogenic,0,0,Latin_America_and_the_Caribbean,2019,0,0
pennatula,0,0,Latin_America_and_the_Caribbean,2019,0,0
podosomatous,0,0,Latin_America_and_the_Caribbean,2019,0,0
paradiastole,0,0,Latin_America_and_the_Caribbean,2019,0,0
bibliographers,0,0,Latin_America_and_the_Caribbean,2019,0,0
desecrate,0,0,Eurasia,2018,1,0
readded,0,0,Latin_America_and_the_Caribbean,2019,0,0
swiving,0,0,Latin_America_and_the_Caribbean,2019,0,0
unindorsed,4,5,Latin_America_and_the_Caribbean,2019,7,0.714285714
masterliness,6,15,Latin_America_and_the_Caribbean,2019,53,0.283018868
desecrate,0,0,Eurasia,2019,1,0
psychologists,0,0,Latin_America_and_the_Caribbean,2019,0,0
peakward,8,8,Latin_America_and_the_Caribbean,2016,53,0.150943396
thallome,1,1,Latin_America_and_the_Caribbean,2019,10,0.1
peakward,13,13,Latin_America_and_the_Caribbean,2017,53,0.245283019
abassin,1,2,Latin_America_and_the_Caribbean,2019,3,0.666666667
aleutian,0,0,Latin_America_and_the_Caribbean,2019,0,0
trisections,0,0,Latin_America_and_the_Caribbean,2019,0,0
nonhumanness,0,0,Latin_America_and_the_Caribbean,2019,0,0
chondroitic,0,0,Latin_America_and_the_Caribbean,2019,0,0
whooper,1,1,Latin_America_and_the_Caribbean,2019,1,1
solvabling,0,0,Latin_America_and_the_Caribbean,2019,0,0
hemianopsia,0,0,Latin_America_and_the_Caribbean,2019,0,0
acromyotonia,4,6,Latin_America_and_the_Caribbean,2019,12,0.5
lorilet,0,0,Latin_America_and_the_Caribbean,2019,0,0
excussed,11,12,Latin_America_and_the_Caribbean,2019,66,0.181818182
refugia,0,0,Latin_America_and_the_Caribbean,2019,0,0
gender,0,0,Latin_America_and_the_Caribbean,2019,0,0
amatorial,2,7,Latin_America_and_the_Caribbean,2019,26,0.269230769
violin,0,0,Latin_America_and_the_Caribbean,2019,0,0
quinovin,0,0,Latin_America_and_the_Caribbean,2019,0,0
trilisa,0,0,Latin_America_and_the_Caribbean,2019,0,0
peakward,12,22,Latin_America_and_the_Caribbean,2018,53,0.41509434
grumbletonian,0,0,Latin_America_and_the_Caribbean,2019,0,0
vanquishes,2,2,Latin_America_and_the_Caribbean,2019,6,0.333333333
hoosierese,13,37,Latin_America_and_the_Caribbean,2019,158,0.234177215
nonperversity,0,0,Latin_America_and_the_Caribbean,2019,0,0
peakward,10,10,Latin_America_and_the_Caribbean,2019,53,0.188679245
hesperidian,252,898,Latin_America_and_the_Caribbean,2019,2941,0.30533832
breacher,0,0,Latin_America_and_the_Caribbean,2019,0,0
melampyrin,0,0,Latin_America_and_the_Caribbean,2019,5,0
truckster,0,0,Latin_America_and_the_Caribbean,2019,0,0
peakward,15,20,Global,2016,76,0.263157895
splenulus,1,1,Latin_America_and_the_Caribbean,2019,5,0.2
reirrigation,0,0,Latin_America_and_the_Caribbean,2019,0,0
delicts,1,2,Latin_America_and_the_Caribbean,2019,3,0.666666667
humanised,0,0,Latin_America_and_the_Caribbean,2019,0,0
midmorn,0,0,Latin_America_and_the_Caribbean,2019,0,0
lucumo,0,0,Latin_America_and_the_Caribbean,2019,1,0
archetypical,2,2,Latin_America_and_the_Caribbean,2019,3,0.666666667
piker,3,3,Latin_America_and_the_Caribbean,2019,20,0.15
radio,23,53,Latin_America_and_the_Caribbean,2019,188,0.281914894
cumaphytic,0,0,Latin_America_and_the_Caribbean,2019,0,0
bedewer,4,4,Latin_America_and_the_Caribbean,2019,8,0.5
morone,0,0,Latin_America_and_the_Caribbean,2019,0,0
besleeve,38,65,Latin_America_and_the_Caribbean,2019,190,0.342105263
monotomous,11,16,Latin_America_and_the_Caribbean,2019,109,0.146788991
dumpling,0,0,Latin_America_and_the_Caribbean,2019,0,0
wowserdom,0,0,Latin_America_and_the_Caribbean,2019,0,0
vestibulary,0,0,Latin_America_and_the_Caribbean,2019,0,0
abricot,4,5,Latin_America_and_the_Caribbean,2019,22,0.227272727
translatory,0,0,Latin_America_and_the_Caribbean,2019,1,0
snark,0,0,Latin_America_and_the_Caribbean,2019,1,0
germarium,0,0,Latin_America_and_the_Caribbean,2019,0,0
septillion,0,0,Latin_America_and_the_Caribbean,2019,0,0
peakward,8,12,Global,2017,76,0.157894737
sensible,0,0,Latin_America_and_the_Caribbean,2019,0,0
jarovizing,0,0,Latin_America_and_the_Caribbean,2019,0,0
refrained,1,1,Latin_America_and_the_Caribbean,2019,1,1
syenites,0,0,Latin_America_and_the_Caribbean,2019,0,0
blueness,1,2,Latin_America_and_the_Caribbean,2019,16,0.125
acclaim,0,0,Latin_America_and_the_Caribbean,2019,0,0
scute,6,7,Latin_America_and_the_Caribbean,2019,19,0.368421053
peakward,8,23,Global,2018,76,0.302631579
peakward,10,21,Global,2019,76,0.276315789
osteoscope,1,1,Latin_America_and_the_Caribbean,2019,3,0.333333333
affusion,0,0,Latin_America_and_the_Caribbean,2019,0,0
gluers,0,0,Latin_America_and_the_Caribbean,2019,0,0
epiglottises,0,0,Latin_America_and_the_Caribbean,2019,0,0
peakward,43,114,Asia_Pacific,2016,391,0.291560102
feudalize,0,0,Latin_America_and_the_Caribbean,2019,0,0
pharyngealized,0,0,Latin_America_and_the_Caribbean,2019,0,0
decurring,0,0,Latin_America_and_the_Caribbean,2019,0,0
navigant,0,0,Latin_America_and_the_Caribbean,2019,0,0
remittor,1,1,Latin_America_and_the_Caribbean,2019,7,0.142857143
peakward,45,115,Asia_Pacific,2017,391,0.294117647
cordelier,3,3,Latin_America_and_the_Caribbean,2019,5,0.6
peakward,27,42,Asia_Pacific,2018,391,0.10741688
circumlocutional,0,0,Latin_America_and_the_Caribbean,2019,1,0
bewrapt,0,0,Latin_America_and_the_Caribbean,2019,0,0
microeconomics,83,163,Latin_America_and_the_Caribbean,2019,516,0.315891473
unflowering,0,0,Latin_America_and_the_Caribbean,2019,0,0
peakward,40,120,Asia_Pacific,2019,391,0.306905371
spathae,0,0,Latin_America_and_the_Caribbean,2019,0,0
biti,1,1,Latin_America_and_the_Caribbean,2019,1,1
imaginariness,1,1,Latin_America_and_the_Caribbean,2019,1,1
amalgamative,1,1,Latin_America_and_the_Caribbean,2019,4,0.25
hirsle,0,0,Latin_America_and_the_Caribbean,2019,0,0
disalike,0,0,Latin_America_and_the_Caribbean,2019,1,0
catharping,0,0,Latin_America_and_the_Caribbean,2019,0,0
weakly,0,0,Latin_America_and_the_Caribbean,2019,0,0
eternalise,0,0,Latin_America_and_the_Caribbean,2019,0,0
pythiad,0,0,Latin_America_and_the_Caribbean,2019,0,0
goose,0,0,Latin_America_and_the_Caribbean,2019,0,0
tribadism,0,0,Latin_America_and_the_Caribbean,2019,0,0
tuateras,0,0,Latin_America_and_the_Caribbean,2019,0,0
deossification,0,0,Latin_America_and_the_Caribbean,2019,0,0
dyschiria,0,0,Latin_America_and_the_Caribbean,2019,0,0
vallum,0,0,Latin_America_and_the_Caribbean,2019,0,0
teths,0,0,Latin_America_and_the_Caribbean,2019,0,0
neigher,0,0,Latin_America_and_the_Caribbean,2019,0,0
unquixotically,0,0,Latin_America_and_the_Caribbean,2019,0,0
balzacian,0,0,Latin_America_and_the_Caribbean,2019,0,0
anthramin,2,4,Latin_America_and_the_Caribbean,2019,4,1
overpious,14,93,Latin_America_and_the_Caribbean,2019,143,0.65034965
